net,length_um
cpu_inst.regfile_inst.registers\[4\]\[3\],17.18
_2268_,17.16
cpu_inst.regfile_inst.registers\[7\]\[23\],17.14
_1570_,17.12
_1886_,17.1
_1545_,17.02
_1614_,17.02
_0645_,17.01
_1146_,17
cpu_inst.display_inst.counter\[14\],16.96
cpu_inst.regfile_inst.registers\[4\]\[9\],16.96
cpu_inst.regfile_inst.registers\[1\]\[12\],16.94
cpu_inst.regfile_inst.registers\[25\]\[11\],16.94
_1772_,16.92
cpu_inst.regfile_inst.registers\[25\]\[8\],16.9
cpu_inst.display_inst.counter\[7\],16.88
cpu_inst.regfile_inst.registers\[7\]\[15\],16.86
_0962_,16.84
cpu_inst.regfile_inst.registers\[7\]\[8\],16.83
_1837_,16.78
_1927_,16.76
_1159_,16.75
cpu_inst.regfile_inst.registers\[9\]\[29\],16.72
_2242_,16.7
cpu_inst.regfile_inst.registers\[10\]\[27\],16.7
_1868_,16.62
_2299_,16.62
_1755_,16.6
cpu_inst.regfile_inst.registers\[4\]\[19\],16.6
_1112_,16.57
_1478_,16.56
cpu_inst.decoder_inst.current_pc\[13\],16.56
_1826_,16.52
_1754_,16.5
_2159_,16.5
_1402_,16.48
cpu_inst.regfile_inst.registers\[5\]\[19\],16.48
cpu_inst.regfile_inst.registers\[9\]\[11\],16.48
cpu_inst.regfile_inst.registers\[9\]\[19\],16.48
_0784_,16.44
_1875_,16.42
cpu_inst.regfile_inst.registers\[11\]\[0\],16.42
_0890_,16.4
_1565_,16.4
_1892_,16.39
_1577_,16.38
cpu_inst.regfile_inst.registers\[4\]\[5\],16.36
cpu_inst.regfile_inst.registers\[10\]\[4\],16.34
cpu_inst.regfile_inst.registers\[8\]\[11\],16.3
_1105_,16.28
_0793_,16.26
_1329_,16.22
_0589_,16.2
cpu_inst.regfile_inst.registers\[2\]\[30\],16.18
cpu_inst.regfile_inst.registers\[8\]\[6\],16.18
_1500_,16.16
_2146_,16.16
_0872_,16.14
cpu_inst.regfile_inst.registers\[11\]\[18\],16.14
_1523_,16.12
_1025_,16.1
cpu_inst.regfile_inst.registers\[6\]\[3\],16.1
_0880_,16.08
cpu_inst.regfile_inst.registers\[7\]\[21\],16.08
cpu_inst.regfile_inst.registers\[2\]\[27\],16.02
